ABREVIAT,ATUSDASET,ATUSDASET2,CABEDAL,CODIGO,EMBALAGEM,HORAS,IBAMA,IMPRIMIR,NOME,OPCAOSET1,OPCAOSET2,ORDEM,PALMILHA,PREFABRIC,QTDE_DIA,SDA_ENT,SOLA,USAR_GRAF,USAR_IWD
,,,False,001,False,0,False,True,ALMOXARIFADO,0,0,0,False,False,0,False,False,False,False
,,,False,002,False,0,False,True,DUBLAGEM,0,0,0,False,False,0,False,False,False,False
,,,False,003,False,0,False,True,CORTE SERRA,0,0,0,False,False,0,False,False,False,False
,,,False,004,False,0,False,False,CUNHO,0,0,0,False,False,0,False,False,False,False
,,,False,005,False,0,False,False,CONFORMAÇÃO,0,0,0,False,False,0,False,False,False,False
,,,False,006,False,0,False,False,DISTRIBUIÇÃO,0,0,0,False,False,0,False,False,False,False
,,,False,007,False,0,False,False,RECORTE,0,0,0,False,False,0,False,False,False,False
,,,False,008,False,0,False,False,CARIMBAÇÃO,0,0,0,False,False,0,False,False,False,False
,,,False,009,False,0,False,False,REVISÃO,0,0,0,False,False,0,False,False,False,False
,,,False,010,False,0,False,False,CORTE PLANA,0,0,0,False,False,0,False,False,False,False
,,,False,011,False,0,False,True,EXPEDIÇÃO,0,0,0,False,False,0,False,False,False,False
,,,False,012,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,013,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,014,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,015,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,016,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,017,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,018,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,019,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,020,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,021,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,022,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,023,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,024,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,025,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,026,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,027,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,028,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,029,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,030,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,031,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,032,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,033,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,034,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,035,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,036,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,037,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,038,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
,,,False,039,False,0,False,False,,0,0,0,False,False,0,False,False,False,False
